Customer_ID,Name,Age,Gender,City,Membership_Type,Tenure_Months,Total_Rides,Average_Ride_Cost,Days_Since_Last_Ride,Cancellation_Rate,Customer_Satisfaction_Score,Payment_Method,App_Usage_Hours_Per_Week,Churn_Status
RS105116,Urvi Wagle,56.0,Female,Ahmedabad,Gold,16,39,216.45,105,0.68,1.0,Wallet,4.3,1
RS105117,Vedika Toor,69.0,Female,Mumbai,Gold,46,443,164.03,170,0.2,4.0,Cash,23.0,1
RS105118,Manikya Borra,56.0,unknown,Hyderabad,Corporate,16,518,1983.22,62,0.28,4.0,Wallet,33.7,0
RS105119,Akarsh Dar,51.0,Female,Jaipur,Premium,66,287,1274.96,94,0.59,7.0,Card,12.0,0
RS105120,Shanaya Shanker,69.0,Female,Chennai,Premium,40,346,187.88,148,0.55,9.0,Wallet,14.4,1
RS105121,Dishani Chandra,33.0,Male,Mumbai,Regular,60,370,855.46,121,0.37,2.0,Cash,0.1,1
RS105122,Siya Karnik,18.0,Male,Delhi,Corporate,29,244,2363.48,151,0.24,1.0,Card,20.8,1
RS105123,Rania Khalsa,52.0,Male,Kolkata,Gold,34,510,257.79,44,0.43,7.0,Cash,17.8,1
RS105124,@@@,61.0,Female,Mumbai,Gold,48,575,934.41,39,0.35,8.0,Wallet,34.0,0
RS105125,Faiyaz Bhatnagar,27.0,Male,Kolkata,Premium,21,241,1205.67,171,0.01,2.0,Wallet,29.7,1
RS105126,Samaira Dey,46.0,Other,Ahmedabad,Regular,24,4,157.46,99,0.6,9.0,Cash,32.5,1
RS105127,Bhamini Kulkarni,32.0,Female,Chennai,Gold,26,303,1570.45,70,0.6,5.0,Cash,34.0,1
RS105128,Misha Gokhale,,Female,Bangalore,Premium,61,425,1049.87,16,0.58,6.0,Card,6.2,0
RS105129,Hazel Mannan,29.0,Female,Delhi,Gold,44,12,2233.28,125,0.42,10.0,Cash,33.6,1
RS105130,Eva Sengupta,53.0,Female,Pune,Regular,44,122,2166.33,174,0.61,10.0,Wallet,7.2,1
RS105131,Ehsaan Bala,50.0,Male,Delhi,Gold,2,442,,118,0.16,8.0,Card,15.1,1
RS105132,Uthkarsh Bhatnagar,31.0,Male,Pune,Corporate,41,328,1824.75,59,0.19,10.0,Cash,31.6,1
RS105133,Zara Choudhary,200.0,Female,Hyderabad,Corporate,20,451,545.21,4,0.8,6.0,UPI,27.2,0
RS105134,Badal Bail,29.0,Male,Bangalore,Premium,27,387,2173.7,99,0.46,3.0,Wallet,11.4,1
RS105135,Gatik Tata,35.0,Female,Nagpur,Premium,13,137,1586.06,178,0.44,9.0,UPI,24.2,0
RS105136,Hazel Master,42.0,FEMALE,Nagpur,Corporate,57,464,2467.3,133,0.34,4.0,Cash,7.7,1
RS105137,Faiyaz Soman,22.0,Female,Jaipur,Gold,69,320,1738.05,177,0.48,7.0,Cash,29.9,1
RS105138,Ranbir Kalla,51.0,Male,Hyderabad,Regular,41,174,1222.26,152,0.04,4.0,Wallet,10.1,0
RS105139,Akarsh Dar,37.0,Male,Bangalore,Regular,57,159,1490.12,26,0.53,7.0,Wallet,27.0,0
RS105140,Abram Talwar,62.0,Male,Nagpur,Premium,38,322,100.74,43,0.68,7.0,UPI,15.0,0
RS105141,Rhea Sharma,48.0,Female,Delhi,Regular,8,31,456.05,144,0.18,4.0,Card,,1
RS105142,Diya Chauhan,47.0,Male,Delhi,Corporate,18,479,2026.86,69,0.48,,Card,8.2,1
RS105143,Aayush Sankaran,49.0,Male,Hyderabad,Premium,16,90,1264.18,90,0.37,2.0,Wallet,13.7,1
RS105144,Kanav Dhar,25.0,Male,Nagpur,Premium,41,443,167.59,79,0.05,10.0,Cash,22.5,0
RS105145,Trisha Barad,43.0,Female,Chennai,Premium,13,270,2035.72,165,0.36,,Card,1.7,1
RS105146,Pihu Bora,26.0,Female,Pune,Regular,41,41,2405.54,35,0.39,6.0,Wallet,14.1,0
RS105147,Divyansh Mallick,36.0,Male,Hyderabad,Regular,34,193,1760.06,91,0.5,8.0,UPI,10.3,1
RS105148,Priyansh Datta,45.0,Male,Jaipur,Corporate,71,5,17518.0,80,0.08,6.0,Cash,8.9,0
RS105149,Dhruv Gala,54.0,Male,Hyderabad,Corporate,15,311,2418.1,142,0.64,5.0,UPI,3.9,1
RS105150,Indrajit Bala,36.0,Female,Pune,Regular,9,341,109.52,2,0.04,5.0,Cash,27.0,0
RS105151,Indrans Dalal,49.0,Male,Ahmedabad,Gold,14,9,347.21,31,0.55,8.0,UPI,,1
RS105152,Jiya Sood,64.0,Male,Pune,Gold,70,234,1532.44,23,0.6,1.0,UPI,14.7,1
RS105153,Raghav Banik,,Female,Bangalore,Regular,13,231,705.14,144,0.58,8.0,Wallet,25.0,0
RS105154,Adira Jaggi,-5.0,Female,Jaipur,Regular,69,86,,11,0.7,7.0,Card,11.4,1
RS105155,Inaaya  Bajwa,43.0,Female,Jaipur,Gold,58,350,2466.1,98,0.56,1.0,UPI,15.4,1
RS105156,Reyansh Sen,49.0,Female,Hyderabad,Premium,42,594,988.68,98,0.14,8.0,Wallet,3.7,1
RS105157,Onkar Bhatnagar,27.0,Male,Ahmedabad,Premium,65,568,452.03,13,0.38,3.0,UPI,1.2,0
RS105158,Nitya Ghose,21.0,Female,Ahmedabad,Premium,49,243,2418.95,131,0.76,6.0,Wallet,31.1,1
RS105159,Aradhya Sarma,,Female,Chennai,Regular,34,500,36823.0,100,0.43,5.0,Cash,20.4,1
RS105160,Indrajit Dyal,33.0,Male,Jaipur,Premium,62,128,2464.35,110,0.07,5.0,Card,1.4,1
RS105161,Vivaan Bhakta,43.0,Male,Mumbai,Premium,45,44,347.0,140,0.78,2.0,Cash,28.7,1
RS105162,Ela Sha,69.0,Male,Pune,Corporate,52,283,1112.31,18,0.25,,Wallet,8.4,0
RS105163,Indrajit Vyas,21.0,Female,Delhi,Premium,31,173,1784.49,134,0.29,5.0,Wallet,,1
RS105164,Eshani Bava,22.0,FEMALE,Jaipur,Corporate,69,485,1358.53,33,0.36,6.0,UPI,33.5,1
RS105165,Kartik Bala,44.0,Female,Kolkata,Regular,71,130,892.3,12,0.17,5.0,Wallet,4.3,0
RS105166,Badal Kaul,36.0,Female,Jaipur,Regular,11,3,1402.02,160,0.67,,Wallet,2.7,1
RS105167,Krish Agate,56.0,Male,Bangalore,Regular,43,420,83049.0,148,0.43,2.0,UPI,25.2,0
RS105168,Shanaya Sinha,61.0,Female,Nagpur,Corporate,38,334,1169.35,89,0.79,,Wallet,,0
RS105169,Aradhya Bhardwaj,29.0,Male,Delhi,Premium,6,407,757.78,167,0.75,8.0,Wallet,29.6,1
RS105170,Seher Doshi,46.0,Female,Ahmedabad,Gold,34,289,1056.77,123,0.64,4.0,Wallet,28.8,1
RS105171,Charvi Chawla,42.0,Male,Kolkata,Regular,51,113,1354.26,175,0.3,1.0,UPI,8.3,0
RS105172,Ryan Bose,35.0,Male,Delhi,Corporate,24,161,1132.21,46,0.48,3.0,UPI,4.6,1
RS105173,Gatik Apte,63.0,Male,Delhi,Regular,28,551,2066.94,142,0.64,1.0,Wallet,,1
RS105174,Jayan Gour,66.0,Male,Nagpur,Regular,18,481,107.93,107,0.28,9.0,UPI,11.7,0
RS105175,Khushi Samra,57.0,Male,Jaipur,Premium,44,426,197.77,169,0.23,2.0,Card,7.7,1
RS105176,Jhanvi Desai,52.0,Male,Pune,Regular,37,359,2271.81,179,0.78,2.0,Card,28.6,1
RS105177,Alia Dugar,66.0,Female,Chennai,Corporate,54,446,1932.89,17,0.13,10.0,Card,20.5,0
RS105178,Elakshi Chowdhury,41.0,Male,Mumbai,Gold,59,188,1731.11,134,0.29,,Wallet,15.3,0
RS105179,Advik Din,33.0,Male,Nagpur,Premium,31,241,1045.83,163,0.78,4.0,Card,20.1,1
RS105180,Ishita Walla,40.0,Female,Kolkata,Premium,5,288,287.46,71,0.75,8.0,Wallet,25.1,0
RS105181,Samarth Varma,58.0,Male,Delhi,Gold,30,237,2332.15,78,0.62,4.0,Cash,13.4,1
RS105182,Shamik Dada,61.0,Female,Pune,Gold,68,371,1643.44,130,0.43,10.0,Cash,34.4,0
RS105183,Dhanush Lala,34.0,Male,Hyderabad,Corporate,11,106,1803.97,84,0.13,7.0,Cash,16.8,0
RS105184,Tiya Borde,48.0,Female,Pune,Regular,12,299,261.61,97,0.73,4.0,UPI,17.0,1
RS105185,Jhanvi Mannan,56.0,Male,Pune,Regular,4,222,93.53,6,0.62,10.0,UPI,17.5,1
RS105186,Saanvi Chand,59.0,Male,Kolkata,Corporate,61,324,167.37,38,0.74,8.0,Wallet,31.4,0
RS105187,Baiju Bajwa,54.0,Male,Jaipur,Gold,62,223,452.12,131,0.1,4.0,Wallet,26.2,1
RS105188,Pihu Solanki,40.0,Female,Mumbai,Regular,26,178,492.53,112,0.65,3.0,Wallet,18.6,0
RS105189,Hiran Barman,44.0,Male,Pune,Regular,63,284,1252.18,173,0.74,6.0,Cash,32.4,0
RS105190,Neelofar Kanda,60.0,Male,Chennai,Gold,54,57,,116,0.2,6.0,Cash,13.8,0
RS105191,Alia Dara,31.0,Female,Kolkata,Corporate,66,150,488.74,102,0.76,10.0,Wallet,30.1,1
RS105192,Trisha Sha,,Female,Delhi,Regular,48,47,906.01,174,0.46,7.0,Wallet,18.7,1
RS105193,Tiya Talwar,39.0,Male,Chennai,Gold,11,351,1085.43,59,0.69,6.0,Wallet,14.0,1
RS105194,Miraan Handa,40.0,Female,Kolkata,Premium,32,266,,155,0.56,3.0,Wallet,21.1,1
RS105195,Anika Bajaj,22.0,Male,Hyderabad,Regular,10,119,1874.02,15,0.29,4.0,Card,22.7,0
RS105196,Romil Gaba,66.0,Female,Nagpur,Regular,17,528,751.82,133,0.03,1.0,Wallet,27.1,1
RS105197,Aarush Buch,,Female,Nagpur,Corporate,58,562,2090.11,24,0.31,8.0,Cash,2.0,0
RS105198,Eva Divan,57.0,Male,Delhi,Premium,16,450,1226.44,7,0.12,6.0,Wallet,11.1,0
RS105199,Zaina Rau,47.0,Female,Delhi,Premium,40,352,355.44,146,0.01,,UPI,10.8,1
RS105200,Uthkarsh Bhalla,32.0,Female,Chennai,Premium,32,192,738.32,143,0.55,3.0,Card,21.3,1
RS105201,Amani Halder,19.0,Male,Jaipur,Corporate,29,22,347.3,74,0.35,2.0,Wallet,30.9,1
RS105202,Indrajit Rout,33.0,Male,Kolkata,Gold,12,567,116.81,163,0.34,9.0,Card,30.0,0
RS105203,Vedika Sanghvi,67.0,Female,Jaipur,Premium,30,11,1569.96,89,0.8,3.0,Card,33.3,1
RS105204,Khushi Vig,,Female,Chennai,Corporate,24,450,2041.32,147,0.5,8.0,Wallet,31.6,1
RS105205,Rania Sridhar,33.0,Female,Nagpur,Regular,39,202,548.15,118,0.33,7.0,Card,34.8,0
RS105206,Piya Boase,40.0,Male,Bangalore,Gold,33,407,801.91,120,0.45,9.0,UPI,11.1,0
RS105207,Ojas Choudhry,27.0,Male,Ahmedabad,Gold,54,176,339.13,149,0.76,1.0,Card,31.1,1
RS105208,Aaryahi Dar,39.0,Male,Mumbai,Premium,52,244,470.22,43,0.75,1.0,Card,34.9,1
RS105209,Drishya Bhalla,,Female,Hyderabad,Gold,6,475,1430.13,152,0.27,6.0,UPI,3.8,0
RS105210,Prisha Dyal,31.0,Female,Kolkata,Gold,24,151,74.96,148,0.52,1.0,UPI,2.1,0
RS105211,Nirvi Bajaj,27.0,Male,Delhi,Premium,46,326,1931.68,121,0.54,4.0,Wallet,18.4,1
RS105212,Umang Vasa,26.0,Other,Nagpur,Premium,11,88,1434.45,15,0.44,4.0,Cash,21.0,0
RS105213,Anya Swamy,69.0,Female,Chennai,Regular,60,356,2396.36,130,0.19,1.0,Cash,30.6,0
RS105214,Kismat Biswas,45.0,Female,Pune,Corporate,7,582,2309.78,120,0.73,1.0,UPI,4.0,1
RS105215,Akarsh Chaudry,44.0,Male,Jaipur,Corporate,57,375,1925.63,125,0.55,6.0,Card,10.5,1
RS105216,Samiha Kade,61.0,Male,Pune,Premium,43,104,75.39,121,0.51,8.0,Cash,12.9,0
RS105217,Amani Dasgupta,68.0,Female,Nagpur,Corporate,52,35,447.69,12,0.15,3.0,Card,2.1,0
RS105218,Nitya Kashyap,52.0,Female,Bangalore,Regular,42,80,238.42,56,0.28,2.0,Wallet,23.4,0
RS105219,Aaina Kibe,69.0,Female,Mumbai,Gold,16,259,151.39,28,0.75,3.0,Wallet,15.3,0
RS105220,Amira Dass,39.0,Female,Bangalore,Regular,46,375,1732.69,131,0.49,10.0,Cash,15.5,0
RS105221,Fateh Sandhu,34.0,Male,Mumbai,Corporate,20,240,141.57,123,0.64,7.0,UPI,5.6,1
RS105222,Lavanya Sastry,38.0,Female,Mumbai,Corporate,55,361,804.04,176,0.13,7.0,UPI,29.3,0
RS105223,Ritvik Bandi,34.0,Male,Hyderabad,Regular,14,225,2068.9,143,0.25,4.0,Wallet,16.9,1
RS105224,Amani Kapur,40.0,Male,Nagpur,Premium,28,385,2438.1,171,0.6,3.0,Card,3.2,1
RS105225,Lakshit Maharaj,69.0,Female,Hyderabad,Corporate,43,309,1365.53,103,0.25,2.0,Cash,31.6,1
RS105226,Chirag Goswami,67.0,Male,Jaipur,Regular,9,435,266.14,143,0.43,6.0,UPI,9.7,0
RS105227,Armaan Bir,31.0,Male,Pune,Regular,13,208,1128.68,109,0.76,8.0,Cash,12.9,1
RS105228,Eshani Kannan,35.0,Male,Jaipur,Corporate,71,498,2427.63,153,0.62,1.0,Card,17.1,0
RS105229,Elakshi Kothari,41.0,Female,Delhi,Corporate,9,137,1641.87,156,0.13,3.0,Card,26.3,1
RS105230,Hridaan Baral,69.0,Male,Jaipur,Gold,45,194,2310.16,77,0.25,9.0,UPI,32.0,1
RS105231,Tushar Wason,50.0,Male,Ahmedabad,Gold,48,475,342.49,137,0.21,10.0,Wallet,28.7,0
RS105232,Divit De,31.0,Male,Chennai,Premium,44,140,48237.0,16,0.19,8.0,Cash,,0
RS105233,Alisha Mahal,41.0,Male,Kolkata,Corporate,52,575,1436.78,2,0.39,2.0,Cash,32.7,0
RS105234,Nayantara Reddy,39.0,Male,Pune,Premium,27,214,10365.0,144,0.75,7.0,UPI,22.3,1
RS105235,Nitara Mannan,31.0,Male,Pune,Regular,58,254,1076.1,44,0.16,3.0,Card,29.0,0
RS105236,Vihaan Vyas,41.0,Male,Bangalore,Premium,46,35,1413.3,95,0.32,10.0,Wallet,25.8,0
RS105237,Faiyaz Dhingra,150.0,Male,Ahmedabad,Gold,14,542,,163,0.65,6.0,UPI,34.8,0
RS105238,Shanaya Soni,41.0,Female,Delhi,Gold,71,544,1425.35,77,0.49,7.0,Card,19.2,1
RS105239,Elakshi Bains,,Female,Hyderabad,Corporate,15,110,2438.7,136,0.16,6.0,UPI,12.2,0
RS105240,Mohanlal Borra,35.0,Male,Chennai,Corporate,9,480,1069.13,19,0.17,2.0,Cash,28.6,1
RS105241,Priyansh Agate,36.0,Male,Bangalore,Premium,26,542,788.35,3,0.57,,UPI,12.4,0
RS105242,Nayantara Kala,46.0,Male,Delhi,Premium,53,579,764.97,77,0.34,7.0,UPI,17.1,1
RS105243,@@@,0.0,Female,Chennai,Premium,8,497,2185.08,103,0.47,4.0,Wallet,1.2,1
RS105244,Zaina Dugar,63.0,Male,Kolkata,Regular,29,484,1186.27,177,0.55,6.0,UPI,30.8,1
RS105245,Nirvaan Kalita,64.0,Male,Nagpur,Corporate,41,352,1166.87,97,0.64,7.0,UPI,18.7,0
RS105246,Lavanya De,64.0,Male,Kolkata,Corporate,21,362,2099.04,67,0.8,2.0,Wallet,24.9,1
RS105247,Badal Bassi,32.0,Female,Bangalore,Regular,10,451,690.06,6,0.6,9.0,Card,31.0,0
RS105248,Amani Thakkar,54.0,Female,Nagpur,Premium,26,137,,50,0.57,4.0,UPI,11.0,0
RS105249,Bhamini Thakur,34.0,Male,Mumbai,Corporate,35,46,1666.35,158,0.23,1.0,UPI,16.2,1
RS105250,Vedika Vig,58.0,Male,Pune,Regular,60,39,1747.86,137,0.24,7.0,Card,5.9,0
RS105251,Anay Cheema,40.0,Female,Kolkata,Regular,8,32,1436.73,46,0.4,5.0,Wallet,28.4,1
RS105252,Rati Deo,19.0,Female,Ahmedabad,Premium,69,393,322.27,125,0.69,5.0,Wallet,32.0,1
RS105253,Vardaniya Deshpande,23.0,Female,Nagpur,Premium,57,436,2418.54,128,0.66,4.0,UPI,27.4,1
RS105254,Saira Basak,30.0,Male,Kolkata,Gold,19,64,90626.0,13,0.33,6.0,Card,9.8,0
RS105255,Ryan Mandal,69.0,Male,Mumbai,Corporate,54,108,1297.4,178,0.57,7.0,Cash,26.7,0
RS105256,Zoya Chokshi,37.0,Male,Nagpur,Corporate,66,390,602.11,9,0.48,10.0,UPI,9.4,1
RS105257,Indranil Ganesan,32.0,Female,Hyderabad,Gold,18,265,2263.06,31,0.6,4.0,Card,7.1,0
RS105258,Trisha Krishnan,40.0,Male,Chennai,Corporate,32,470,1354.04,42,0.38,8.0,Wallet,0.5,0
RS105259,Kiara Anand,37.0,Male,Mumbai,Corporate,67,502,2079.29,121,0.3,9.0,Cash,20.0,0
RS105260,Onkar Bora,26.0,Female,Mumbai,Corporate,52,277,,35,0.43,10.0,Card,28.7,0
RS105261,Purab Devan,44.0,Male,Nagpur,Premium,61,311,1569.36,77,0.2,2.0,Card,20.8,1
RS105262,Alia Toor,45.0,Female,Bangalore,Premium,14,322,404.1,174,0.28,6.0,Wallet,6.3,0
RS105263,Raghav Sule,41.0,Male,Kolkata,Premium,19,585,512.89,163,0.57,6.0,Card,3.6,1
RS105264,Aarav Ganesh,53.0,Female,Bangalore,Gold,33,207,151.84,15,0.36,3.0,Cash,12.1,0
RS105265,Ishita Viswanathan,64.0,Male,Delhi,Regular,34,599,1578.49,141,0.49,9.0,Card,9.6,1
RS105266,Kashvi Trivedi,35.0,Male,Ahmedabad,Premium,28,435,914.4,0,0.7,7.0,UPI,20.1,0
RS105267,Mehul Cheema,18.0,Male,Chennai,Corporate,11,150,2072.54,62,0.03,8.0,Wallet,,0
RS105268,Rasha Ratti,56.0,Male,Bangalore,Corporate,9,155,1334.1,44,0.61,2.0,Wallet,12.9,0
RS105269,Mishti Vohra,52.0,Female,Mumbai,Regular,32,88,1006.43,167,0.49,6.0,Card,28.3,1
RS105270,Advik Gera,49.0,Male,Nagpur,Regular,70,545,2420.97,32,0.04,5.0,Card,14.8,0
RS105271,Rania Kashyap,45.0,Male,Hyderabad,Corporate,4,469,1004.09,133,0.14,5.0,Card,,0
RS105272,Samiha Jaggi,41.0,Female,Ahmedabad,Regular,68,158,1540.97,118,0.15,1.0,Wallet,22.0,1
RS105273,Lakshay Rao,62.0,Female,Bangalore,Regular,43,11,363.41,101,0.72,1.0,Cash,19.6,1
RS105274,Mehul Kala,55.0,Male,Chennai,Premium,66,225,1847.35,27,0.1,8.0,Card,15.6,0
RS105275,Ritvik Rout,67.0,Male,Mumbai,Corporate,1,225,788.53,33,0.74,7.0,Cash,12.3,0
RS105276,Purab Biswas,20.0,Male,Pune,Premium,30,387,2081.58,116,0.6,1.0,Wallet,19.0,1
RS105277,Anvi Bhatt,28.0,Male,Bangalore,Corporate,9,579,2048.52,77,0.56,9.0,Card,20.3,1
RS105278,Ivan Bhatti,68.0,Female,Ahmedabad,Gold,56,83,268.0,68,0.47,1.0,Wallet,,1
RS105279,Uthkarsh Jaggi,26.0,Male,Nagpur,Corporate,53,87,,141,0.62,2.0,Card,34.2,1
RS105280,Mohanlal Bhatti,37.0,Female,Jaipur,Corporate,33,585,661.4,125,0.02,7.0,UPI,1.0,0
RS105281,Ryan Shere,42.0,Female,Chennai,Gold,41,500,1496.33,84,0.73,10.0,UPI,28.4,1
RS105282,Misha Dugar,63.0,Female,Mumbai,Corporate,15,292,334.32,30,0.45,7.0,Cash,13.8,0
RS105283,Abram Borde,58.0,Female,Delhi,Premium,38,297,128.8,47,0.45,6.0,Wallet,,1
RS105284,Chirag Chadha,32.0,Female,Hyderabad,Premium,6,469,2432.58,99,0.29,6.0,Wallet,25.9,0
RS105285,Romil Saxena,33.0,Male,Hyderabad,Premium,53,86,54608.0,142,0.25,8.0,UPI,34.6,0
RS105286,Vedika Anne,41.0,Female,Kolkata,Premium,15,216,105.97,85,0.32,4.0,Card,32.8,1
RS105287,Kismat Rama,30.0,Female,Delhi,Regular,32,527,1634.12,121,0.7,4.0,Card,10.1,1
RS105288,Aarush Wagle,69.0,Female,Pune,Corporate,47,401,1721.73,165,0.52,6.0,Card,1.3,1
RS105289,Sara Lala,65.0,Female,Nagpur,Premium,70,510,77055.0,147,0.64,1.0,Wallet,27.5,1
RS105290,Ivana Randhawa,64.0,Male,Hyderabad,Corporate,53,52,1180.27,6,0.42,3.0,Cash,13.9,0
RS105291,Lavanya Sheth,61.0,Male,Mumbai,Corporate,37,307,258.89,169,0.34,2.0,Cash,15.9,0
RS105292,Anahi Keer,68.0,Male,Bangalore,Gold,27,429,74253.0,0,0.76,6.0,Card,11.0,0
RS105293,Charvi Garde,22.0,Male,Bangalore,Regular,43,51,1869.04,163,0.36,9.0,Card,31.1,0
RS105294,Biju Dhar,54.0,Female,Bangalore,Gold,71,313,709.59,95,0.11,2.0,Wallet,7.0,0
RS105295,Abram Barad,28.0,Female,Jaipur,Corporate,18,125,1953.95,58,0.19,4.0,Card,21.7,1
RS105296,Sana Ramanathan,45.0,Male,Nagpur,Corporate,7,571,1518.96,85,0.1,7.0,Cash,27.3,0
RS105297,Advik Chadha,48.0,Female,Bangalore,Regular,32,453,2252.01,120,0.57,5.0,Wallet,,1
RS105298,Akarsh Solanki,58.0,Female,Hyderabad,Gold,50,493,135.23,17,0.78,3.0,Wallet,17.6,0
RS105299,Prerak Lata,32.0,FEMALE,Ahmedabad,Gold,28,480,2277.36,11,0.01,7.0,Cash,2.7,0
RS105300,Lakshit Zacharia,29.0,Male,Jaipur,Regular,55,582,1037.47,34,0.47,3.0,Wallet,4.2,1
RS105301,Pranay Chaudhry,23.0,Female,Bangalore,Regular,46,404,635.16,70,0.38,2.0,UPI,,1
RS105302,Myra Krishna,66.0,Male,Delhi,Gold,57,330,802.06,151,0.62,10.0,Wallet,13.1,1
RS105303,Nakul Konda,31.0,Male,Hyderabad,Gold,4,186,781.45,6,0.31,7.0,Card,26.3,0
RS105304,Umang Ray,21.0,Female,Ahmedabad,Regular,69,168,931.91,117,0.01,3.0,Wallet,14.2,1
RS105305,Anvi Kalla,18.0,Male,Chennai,Corporate,17,25,2411.08,119,0.25,7.0,Card,15.1,0
RS105306,Priyansh Hayer,54.0,??,Bangalore,Gold,59,185,,3,0.02,5.0,Card,20.6,0
RS105307,Nirvi Dash,57.0,Female,Hyderabad,Gold,30,113,2144.39,167,0.45,2.0,UPI,20.1,1
RS105308,Parinaaz Ramakrishnan,31.0,Male,Delhi,Gold,36,191,168.59,90,0.25,8.0,UPI,,0
RS105309,Azad Mani,19.0,Female,Ahmedabad,Premium,17,233,1753.96,8,0.69,3.0,Card,14.2,0
RS105310,Mamooty Apte,55.0,Male,Hyderabad,Gold,67,225,256.03,165,0.14,9.0,Cash,15.5,0
RS105311,12345,44.0,Male,Kolkata,Premium,23,306,1743.73,141,0.68,3.0,Card,17.0,1
RS105312,Alisha De,44.0,Male,Delhi,Regular,41,330,459.84,135,0.42,2.0,Cash,25.0,0
RS105313,Vardaniya Ray,47.0,Male,Delhi,Premium,28,502,511.77,106,0.77,10.0,Card,15.2,0
RS105314,Oorja Batra,63.0,Male,Pune,Corporate,68,63,1914.06,34,0.21,,Card,17.3,0
RS105315,Krish Jain,36.0,Female,Pune,Premium,46,399,982.98,92,0.31,9.0,UPI,14.8,0
RS105316,Advik Yogi,45.0,Male,Mumbai,Gold,57,474,682.24,38,0.09,8.0,Wallet,4.8,0
RS105317,Nayantara Chauhan,20.0,Female,Chennai,Gold,5,99,1605.48,66,0.29,6.0,UPI,11.6,0
RS105318,Kimaya Trivedi,69.0,Female,Mumbai,Premium,49,499,94.54,71,0.44,3.0,Card,2.9,1
RS105319,Damini Sandhu,55.0,Female,Bangalore,Regular,24,182,68.02,94,0.35,4.0,Wallet,21.1,0
RS105320,Mishti Sachar,32.0,Male,Pune,Regular,67,48,394.11,53,0.26,5.0,Cash,16.4,0
RS105321,Kiara Dara,64.0,Male,Bangalore,Gold,56,485,1678.89,132,0.13,7.0,Cash,16.2,1
RS105322,Onkar Sarkar,65.0,Male,Mumbai,Premium,66,72,,61,0.39,4.0,Card,30.4,1
RS105323,Anaya Thakkar,68.0,Female,Bangalore,Corporate,54,452,763.23,8,0.79,4.0,Cash,13.6,1
RS105324,Zoya Dara,,Male,Bangalore,Premium,63,271,228.21,133,0.29,10.0,Wallet,30.5,1
RS105325,Arhaan Vala,50.0,Male,Jaipur,Premium,41,450,1086.69,175,0.65,10.0,Cash,34.5,0
RS105326,Onkar Chakrabarti,29.0,Female,Mumbai,Gold,15,64,999.48,152,0.24,4.0,Card,25.9,1
RS105327,Sana Balasubramanian,40.0,Female,Hyderabad,Premium,17,83,332.1,118,0.55,2.0,UPI,19.7,1
RS105328,Yasmin Jani,65.0,Male,Pune,Premium,51,363,552.13,21,0.04,8.0,Wallet,31.8,0
RS105329,Aarush Seshadri,43.0,Female,Bangalore,Premium,64,59,523.52,38,0.44,8.0,UPI,28.4,0
RS105330,Himmat Sheth,,Male,Mumbai,Gold,24,258,965.55,121,0.56,4.0,Card,,1
RS105331,Kashvi Devi,45.0,Male,Kolkata,Regular,5,40,1880.37,93,0.75,1.0,Wallet,16.0,1
RS105332,Shamik Dewan,25.0,Female,Ahmedabad,Corporate,47,100,2327.36,147,0.66,1.0,Cash,3.1,1
RS105333,Riaan Madan,21.0,Female,Chennai,Corporate,25,131,106.09,85,0.14,7.0,Wallet,24.2,0
RS105334,Anaya Kapur,,Male,Jaipur,Gold,37,144,118.83,49,0.78,2.0,Card,19.8,1
RS105335,Vedika Kadakia,53.0,Female,Mumbai,Regular,16,500,340.3,147,0.19,10.0,UPI,20.1,1
RS105336,Zain Yadav,39.0,Female,Hyderabad,Regular,28,575,927.5,17,0.58,10.0,Cash,,0
RS105337,Reyansh Bumb,25.0,Female,Delhi,Premium,22,324,1254.37,119,0.45,1.0,Cash,5.0,1
RS105338,Shlok Ratti,39.0,Male,Nagpur,Premium,20,472,2013.25,18,0.24,4.0,Cash,25.6,0
RS105339,Madhav Amble,54.0,Female,Hyderabad,Regular,8,406,2448.99,95,0.51,6.0,UPI,15.1,1
RS105340,Armaan Sharma,29.0,Male,Chennai,Corporate,8,7,786.16,45,0.44,3.0,Cash,3.7,1
RS105341,Miraan Rajagopal,22.0,Male,Ahmedabad,Gold,61,242,558.68,175,0.41,5.0,Card,33.1,0
RS105342,Lakshay Ghose,19.0,Female,Kolkata,Corporate,63,369,2393.97,116,0.64,5.0,UPI,1.2,1
RS105343,Eshani Singh,19.0,Female,Hyderabad,Regular,59,531,231.96,100,0.78,8.0,Card,2.4,0
RS105344,Ayesha Gara,67.0,Male,Pune,Gold,61,203,2164.81,87,0.63,8.0,Wallet,5.8,0
RS105345,Devansh Shankar,31.0,Female,Kolkata,Corporate,68,183,2440.96,148,0.75,7.0,UPI,13.3,1
RS105346,Veer Lal,35.0,Female,Ahmedabad,Corporate,68,551,1285.34,163,0.39,5.0,Card,24.3,1
RS105347,Shanaya Ramaswamy,18.0,Female,Hyderabad,Corporate,32,174,,167,0.09,1.0,UPI,2.3,1
RS105348,Navya Chatterjee,32.0,Female,Nagpur,Gold,16,508,2284.94,130,0.37,3.0,Cash,20.8,1
RS105349,Lavanya Bala,67.0,Female,Bangalore,Corporate,12,407,1949.9,88,0.76,8.0,Cash,1.8,0
